FLIGHT LOG
t, z, x, theta, rpm1, rpm2, v_z, v_x, omega, pred_theta, del_rpm
0.000, -4.905, 0.000, 0.000, 0.000, 0.000, -9.81, 0.00, 0.00, 0.000, 0.000
1.000, -19.620, 0.000, 0.000, 0.002, 0.002, -15.00, 0.00, 0.00, 0.000, 0.000
2.000, -39.525, 0.000, 0.000, 0.006, 0.006, -15.00, 0.00, 0.00, 0.000, 0.000
3.000, -59.430, 0.000, 0.000, 0.012, 0.012, -15.00, 0.00, 0.00, 0.000, 0.000
4.000, -79.335, 0.000, 0.000, 0.020, 0.020, -15.00, 0.00, 0.00, 0.000, 0.000
5.000, -99.240, 0.000, 0.000, 0.030, 0.030, -15.00, 0.00, 0.00, 0.000, 0.000
6.000, -119.145, 0.000, 0.000, 0.042, 0.042, -15.00, 0.00, 0.00, 0.000, 0.000
7.000, -139.050, 0.000, 0.000, 0.056, 0.056, -15.00, 0.00, 0.00, 0.000, 0.000
8.000, -158.955, 0.000, 0.000, 0.072, 0.072, -15.00, 0.00, 0.00, 0.000, 0.000
9.000, -178.860, 0.000, 0.000, 0.090, 0.090, -15.00, 0.00, 0.00, 0.000, 0.000
10.000, -198.765, 0.000, 0.000, 0.110, 0.110, -15.00, 0.00, 0.00, 0.000, 0.000
11.000, -218.669, 0.000, 0.000, 0.132, 0.132, -15.00, 0.00, 0.00, 0.000, 0.000
12.000, -238.574, 0.000, 0.000, 0.156, 0.156, -15.00, 0.00, 0.00, 0.000, 0.000
13.000, -258.479, 0.000, 0.000, 0.181, 0.181, -15.00, 0.00, 0.00, 0.000, 0.000
14.000, -278.384, 0.000, 0.000, 0.209, 0.209, -15.00, 0.00, 0.00, 0.000, 0.000
15.000, -298.289, 0.000, 0.000, 0.239, 0.239, -15.00, 0.00, 0.00, 0.000, 0.000
16.000, -318.193, 0.000, 0.000, 0.271, 0.271, -15.00, 0.00, 0.00, 0.000, 0.000
17.000, -338.098, 0.000, 0.000, 0.305, 0.305, -15.00, 0.00, 0.00, 0.000, 0.000
18.000, -358.003, 0.000, 0.000, 0.341, 0.341, -15.00, 0.00, 0.00, 0.000, 0.000
19.000, -377.907, 0.000, 0.000, 0.378, 0.378, -15.00, 0.00, 0.00, 0.000, 0.000
20.000, -397.812, 0.000, 0.000, 0.418, 0.418, -15.00, 0.00, 0.00, 0.000, 0.000
21.000, -417.717, 0.000, 0.000, 0.460, 0.460, -15.00, 0.00, 0.00, 0.000, 0.000
22.000, -437.621, 0.000, 0.000, 0.504, 0.504, -15.00, 0.00, 0.00, 0.000, 0.000
23.000, -457.526, 0.000, 0.000, 0.549, 0.549, -15.00, 0.00, 0.00, 0.000, 0.000
24.000, -477.430, 0.000, 0.000, 0.597, 0.597, -15.00, 0.00, 0.00, 0.000, 0.000
25.000, -497.334, 0.000, 0.000, 0.647, 0.647, -15.00, 0.00, 0.00, 0.000, 0.000
26.000, -517.239, 0.000, 0.000, 0.699, 0.699, -15.00, 0.00, 0.00, 0.000, 0.000
27.000, -537.143, 0.000, 0.000, 0.752, 0.752, -15.00, 0.00, 0.00, 0.000, 0.000
28.000, -557.047, 0.000, 0.000, 0.808, 0.808, -15.00, 0.00, 0.00, 0.000, 0.000
29.000, -576.951, 0.000, 0.000, 0.866, 0.866, -15.00, 0.00, 0.00, 0.000, 0.000
30.000, -596.855, 0.000, 0.000, 0.926, 0.926, -15.00, 0.00, 0.00, 0.000, 0.000
31.000, -616.759, 0.000, 0.000, 0.987, 0.987, -15.00, 0.00, 0.00, 0.000, 0.000
32.000, -636.663, 0.000, 0.000, 1.051, 1.051, -15.00, 0.00, 0.00, 0.000, 0.000
33.000, -656.567, 0.000, 0.000, 1.117, 1.117, -15.00, 0.00, 0.00, 0.000, 0.000
34.000, -676.471, 0.000, 0.000, 1.184, 1.184, -15.00, 0.00, 0.00, 0.000, 0.000
35.000, -696.375, 0.000, 0.000, 1.254, 1.254, -15.00, 0.00, 0.00, 0.000, 0.000
36.000, -716.279, 0.000, 0.000, 1.325, 1.325, -15.00, 0.00, 0.00, 0.000, 0.000
37.000, -736.182, 0.000, 0.000, 1.399, 1.399, -15.00, 0.00, 0.00, 0.000, 0.000
38.000, -756.086, 0.000, 0.000, 1.475, 1.475, -15.00, 0.00, 0.00, 0.000, 0.000
39.000, -775.989, 0.000, 0.000, 1.552, 1.552, -15.00, 0.00, 0.00, 0.000, 0.000
40.000, -795.893, 0.000, 0.000, 1.632, 1.632, -15.00, 0.00, 0.00, 0.000, 0.000
41.000, -815.796, 0.000, 0.000, 1.714, 1.714, -15.00, 0.00, 0.00, 0.000, 0.000
42.000, -835.699, 0.000, 0.000, 1.797, 1.797, -15.00, 0.00, 0.00, 0.000, 0.000
43.000, -855.602, 0.000, 0.000, 1.883, 1.883, -15.00, 0.00, 0.00, 0.000, 0.000
44.000, -875.505, 0.000, 0.000, 1.970, 1.970, -15.00, 0.00, 0.00, 0.000, 0.000
45.000, -895.408, 0.000, 0.000, 2.060, 2.060, -15.00, 0.00, 0.00, 0.000, 0.000
46.000, -915.311, 0.000, 0.000, 2.151, 2.151, -15.00, 0.00, 0.00, 0.000, 0.000
47.000, -935.214, 0.000, 0.000, 2.245, 2.245, -15.00, 0.00, 0.00, 0.000, 0.000
48.000, -955.117, 0.000, 0.000, 2.340, 2.340, -15.00, 0.00, 0.00, 0.000, 0.000
49.000, -975.019, 0.000, 0.000, 2.438, 2.438, -15.00, 0.00, 0.00, 0.000, 0.000
50.000, -994.922, 0.000, 0.000, 2.537, 2.537, -15.00, 0.00, 0.00, 0.000, 0.000
51.000, -1014.824, 0.000, 0.000, 2.639, 2.639, -15.00, 0.00, 0.00, 0.000, 0.000
52.000, -1034.727, 0.000, 0.000, 2.742, 2.742, -15.00, 0.00, 0.00, 0.000, 0.000
53.000, -1054.629, 0.000, 0.000, 2.848, 2.848, -15.00, 0.00, 0.00, 0.000, 0.000
54.000, -1074.531, 0.000, 0.000, 2.955, 2.955, -15.00, 0.00, 0.00, 0.000, 0.000
55.000, -1094.433, 0.000, 0.000, 3.065, 3.065, -15.00, 0.00, 0.00, 0.000, 0.000
56.000, -1114.335, 0.000, 0.000, 3.176, 3.176, -15.00, 0.00, 0.00, 0.000, 0.000
57.000, -1134.237, 0.000, 0.000, 3.290, 3.290, -15.00, 0.00, 0.00, 0.000, 0.000
58.000, -1154.138, 0.000, 0.000, 3.405, 3.405, -15.00, 0.00, 0.00, 0.000, 0.000
59.000, -1174.040, 0.000, 0.000, 3.522, 3.522, -15.00, 0.00, 0.00, 0.000, 0.000
60.000, -1193.941, 0.000, 0.000, 3.642, 3.642, -15.00, 0.00, 0.00, 0.000, 0.000
